time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443399637	8.46292	0.243462	-3.04035	0	0	radar	0	8.46292	0.243462	8.6	0.25	-3.00029	0
1477010443449633	8.44713	0.251376	-3.03801	-1.05563	-0.000149351	lidar	0.00233109	8.44818	0.251553	8.45	0.25	-3.00027	0
1477010443499690	8.46869	0.263211	-2.95041	-1.22857	-0.105822	radar	0.22701	8.56759	0.241943	8.45	0.25	0	0
1477010443549747	8.4529	0.27741	-2.88555	-1.12633	-0.0477053	lidar	0.0652972	8.45582	0.253997	8.45	0.25	0	0
1477010443604698	8.32133	0.283093	-2.89528	-0.331646	0.349719	radar	0.658037	8.42544	0.254042	8.35	0.25	-1.81979	0
1477010443659650	8.20902	0.282293	-2.72203	-0.224538	0.424598	lidar	0.192207	8.23962	0.24916	8.25	0.25	-1.81978	0
1477010443709653	7.99175	0.29191	-3.77105	0.0691173	0.838699	radar	3.02834	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994
1477010443759657	7.83515	0.206485	-3.67569	0.267027	1.05924	lidar	0.256295	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993
1477010443809660	7.66673	0.160414	-3.68491	0.315464	1.04192	radar	0.0371834	7.61269	0.155818	7.7	0.15	-2.99982	0
1477010443859663	7.50794	0.127342	-3.65395	0.32346	0.952559	lidar	0.141772	7.54016	0.159641	7.55	0.15	-2.99982	0
1477010443914714	7.42026	-0.0739039	-3.51089	0.87884	3.27543	radar	6.08837	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239
1477010443969766	7.30639	-0.114373	-3.36392	0.880549	2.84507	lidar	1.78124	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823
1477010444024741	7.12307	-0.119562	-3.18379	0.608242	1.35494	radar	2.3113	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507
1477010444079717	6.99844	-0.17695	-3.10343	0.665569	1.4055	lidar	1.11258	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499
1477010444134693	6.89538	-0.280206	-3.0553	0.840344	1.81357	radar	1.99115	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898
1477010444189670	6.80269	-0.368158	-2.97775	0.916749	1.79609	lidar	0.858678	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897
1477010444239651	6.68121	-0.432563	-2.9031	0.842681	1.34061	radar	2.0077	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075
1477010444289632	6.59979	-0.522768	-2.85979	0.902843	1.33908	lidar	0.321454	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075
1477010444339690	6.55299	-0.649496	-2.84911	1.07074	1.60743	radar	1.97809	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769
1477010444389748	6.50383	-0.746206	-2.78839	1.14216	1.60329	lidar	0.709161	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769
1477010444444769	6.45724	-0.893114	-2.79634	1.26314	1.67979	radar	0.302271	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498
1477010444499791	6.42475	-1.04324	-2.79525	1.36081	1.68712	lidar	0.0643183	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494
1477010444554767	6.3148	-1.11659	-2.64237	1.23341	1.25941	radar	12.4095	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898
1477010444609744	6.26876	-1.2542	-2.64288	1.30054	1.25674	lidar	0.0110956	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896
1477010444664705	6.34836	-1.46104	-2.74423	1.59397	1.65421	radar	20.33	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894
1477010444719667	6.35857	-1.62011	-2.75941	1.68613	1.65367	lidar	0.0746329	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891
1477010444769692	6.29689	-1.69927	-2.57027	1.612	1.38959	radar	15.775	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985
1477010444819718	6.29241	-1.85204	-2.6146	1.67176	1.37271	lidar	0.665131	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847
1477010444869719	6.33652	-2.01281	-2.7023	1.78948	1.45065	radar	2.843	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994
1477010444919720	6.36322	-2.16161	-2.73318	1.85536	1.43962	lidar	0.341768	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994
1477010444974743	6.35679	-2.28462	-2.61505	1.85889	1.32159	radar	7.33768	6.32593	-2.40018	6.35	-2.4	0	-2.72613
1477010445029767	6.38779	-2.44748	-2.65727	1.91649	1.30111	lidar	0.698286	6.34927	-2.55175	6.35	-2.55	0	-2.72611
1477010445084742	6.43587	-2.59674	-2.67815	1.98055	1.29103	radar	0.359815	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851
1477010445139717	6.48174	-2.75417	-2.71341	2.03331	1.26905	lidar	0.588926	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851
1477010445189758	6.50176	-2.86377	-2.59994	2.04807	1.1955	radar	5.61965	6.46536	-3.00452	6.45	-3	0	-2.99754
1477010445239799	6.53409	-3.01637	-2.64893	2.07507	1.15825	lidar	1.52948	6.44119	-3.14955	6.45	-3.15	0	-2.99754
1477010445294720	6.59469	-3.16007	-2.6667	2.1227	1.13942	radar	0.728077	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312
1477010445349641	6.64214	-3.32384	-2.71235	2.14867	1.09937	lidar	1.59955	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312
1477010445404670	6.72733	-3.47181	-2.78156	2.20474	1.09996	radar	1.20768	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583
1477010445459700	6.80132	-3.6296	-2.82153	2.23744	1.06927	lidar	1.01452	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581
1477010445514767	6.87294	-3.75172	-2.7518	2.2717	1.03524	radar	2.31432	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396
1477010445569835	6.94098	-3.91294	-2.79209	2.28785	0.991579	lidar	1.65735	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393
1477010445624820	7.01136	-4.03047	-2.71732	2.31585	0.957344	radar	2.50476	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801
1477010445679806	7.06989	-4.19335	-2.75045	2.31644	0.902829	lidar	2.36172	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799
1477010445734748	7.12281	-4.28896	-2.56497	2.33347	0.855746	radar	9.52389	7.05156	-4.49706	7	-4.45	0.910054	-1.8201
1477010445789690	7.17757	-4.43503	-2.5818	2.33298	0.80671	lidar	1.92827	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201
1477010445844738	7.25173	-4.54282	-2.53052	2.35714	0.782537	radar	1.40274	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489
1477010445899786	7.29978	-4.70071	-2.55252	2.34017	0.720438	lidar	2.97357	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489
1477010445954759	7.4092	-4.83837	-2.67486	2.36905	0.714796	radar	3.58676	7.3138	-5.05204	7.25	-5	1.81907	-2.72861
1477010446009732	7.46223	-5.00016	-2.69091	2.34705	0.651405	lidar	2.96072	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861
1477010446064786	7.5393	-5.11406	-2.64747	2.36079	0.626572	radar	1.47892	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246
1477010446119841	7.59086	-5.28195	-2.66719	2.33072	0.559531	lidar	3.06926	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457
1477010446174794	7.68082	-5.40218	-2.66052	2.34566	0.542158	radar	0.717345	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974
1477010446229748	7.74584	-5.55178	-2.67246	2.32967	0.494723	lidar	1.47082	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
1477010446284703	7.82242	-5.66226	-2.62504	2.33866	0.474048	radar	1.1616	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
1477010446339659	7.87277	-5.82145	-2.63541	2.30685	0.414335	lidar	2.27936	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
1477010446389694	7.99305	-5.95682	-2.83122	2.33118	0.42721	radar	9.35869	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
1477010446439730	8.0522	-6.11024	-2.84764	2.30351	0.376447	lidar	1.66322	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
1477010446494754	8.14334	-6.23223	-2.80623	2.31049	0.359726	radar	1.17513	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
1477010446549779	8.2219	-6.37713	-2.81507	2.29918	0.327556	lidar	0.617133	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
1477010446604767	8.3009	-6.49072	-2.75883	2.3025	0.310314	radar	1.13946	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
1477010446659755	8.36049	-6.64838	-2.76778	2.27298	0.262355	lidar	1.34676	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
1477010446714702	8.44751	-6.76788	-2.76165	2.27887	0.253599	radar	0.406098	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
1477010446769649	8.51892	-6.90803	-2.76412	2.26473	0.224836	lidar	0.503055	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
1477010446819646	8.59001	-7.01328	-2.73054	2.26552	0.212896	radar	0.610001	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
1477010446869643	8.64099	-7.15669	-2.73994	2.23657	0.172395	lidar	1.01784	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
1477010446919691	8.7526	-7.29055	-2.88676	2.2536	0.188616	radar	5.55167	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
1477010446969739	8.81063	-7.4425	-2.90153	2.22467	0.14924	lidar	0.982031	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
1477010447024687	8.87056	-7.55812	-2.76107	2.20992	0.117765	radar	5.75928	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
1477010447079636	8.92986	-7.70591	-2.76438	2.18632	0.0869388	lidar	0.59951	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
1477010447129681	9.00802	-7.82608	-2.78674	2.18769	0.0855427	radar	0.302613	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
1477010447179726	9.05303	-7.97184	-2.7945	2.1567	0.0494064	lidar	0.825934	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
1477010447234713	9.08822	-8.07958	-2.63252	2.1311	0.0105329	radar	6.74176	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
1477010447289701	9.13806	-8.21941	-2.63236	2.10838	-0.0132204	lidar	0.415768	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
1477010447339681	9.21557	-8.34535	-2.6901	2.11178	-0.00504114	radar	0.884593	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
1477010447389662	9.24906	-8.48986	-2.69913	2.07769	-0.0394057	lidar	0.788414	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
1477010447444637	9.28705	-8.60952	-2.58742	2.05096	-0.0732053	radar	3.6279	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
1477010447499613	9.32561	-8.75086	-2.58818	2.02442	-0.0960295	lidar	0.406721	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
1477010447549622	9.46739	-8.91357	-2.92383	2.08278	-0.00231331	radar	31.5872	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
1477010447599631	9.50965	-9.07264	-2.94436	2.05175	-0.0335185	lidar	0.658635	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
1477010447649652	9.54767	-9.19282	-2.84595	2.0274	-0.0651452	radar	2.95252	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
1477010447699673	9.59184	-9.33254	-2.85037	2.00825	-0.0812688	lidar	0.179963	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
1477010447749669	9.62517	-9.45209	-2.77678	1.98512	-0.107158	radar	1.72873	9.47534	-9.42627	9.55	-9.5	0	-3.00023
1477010447799666	9.6445	-9.6045	-2.78905	1.94791	-0.139391	lidar	0.711543	9.54779	-9.64959	9.55	-9.65	0	-3.0002
1477010447849716	9.70948	-9.74616	-2.84555	1.95106	-0.123323	radar	0.99581	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
